DeliverableID,PackageID,Name,Description,Type,AnticipatedArtifacts,CoversScopeItems,SupportsObjectives,ContextEnvelope,ContextEnvelopeNotes
DEL-03-08,PKG-03,Pipe section property and mass-property calculator,"Implement unit-aware section and mass-property calculations from user-entered pipe OD, wall, density, contents, insulation, and corrosion basis where applicable.",BACKEND_FEATURE_SLICE,section property calculator; mass property tests; schema hooks,"SOW-051,SOW-018","OBJ-004,OBJ-012",M,Bounded calculation module using user-entered dimensions only.
DEL-04-01,PKG-04,3D frame stiffness kernel,"Implement the global 3D frame stiffness assembly, coordinate transforms, boundary conditions, and sparse solve interface.",BACKEND_FEATURE_SLICE,core/solver/frame_kernel; unit tests,"SOW-005,SOW-035",OBJ-003,L,Central solver kernel; large but single domain and foundational.
DEL-04-02,PKG-04,Straight pipe element,"Implement straight pipe local stiffness, section-property integration, weight hooks, and element force recovery.",BACKEND_FEATURE_SLICE,straight pipe element; solver tests,SOW-006,OBJ-003,M,Single element type.
DEL-04-03,PKG-04,Linear support and restraint models,"Implement anchors, guides, line stops, vertical supports, springs, and imposed displacement boundary data.",BACKEND_FEATURE_SLICE,support model; linear restraint tests,SOW-011,OBJ-003,M,Support families are related and can share validation.
DEL-04-04,PKG-04,Nonlinear support active-set solver,"Implement iterative activation for one-way supports, gaps, lift-off, and friction with convergence reporting.",BACKEND_FEATURE_SLICE,nonlinear solver loop; convergence tests,SOW-012,OBJ-003,L,Complex; remains one numerical domain.
DEL-04-05,PKG-04,Sparse solver performance harness,Create deterministic performance/regression harness for practical model sizes and solver numerical conditioning.,TEST_SUITE,performance tests; benchmark harness,SOW-035,"OBJ-003,OBJ-008",M,Performance harness separate from solver logic.
DEL-04-06,PKG-04,Solver diagnostics and singularity detection,"Implement deterministic diagnostics for singular systems, ill-conditioning, nonconvergence, invalid restraints, and solver status reporting.",BACKEND_FEATURE_SLICE,solver diagnostics module; singular-model tests; conditioning warnings,"SOW-053,SOW-035","OBJ-003,OBJ-008,OBJ-012",M,Focused diagnostic layer separate from the stiffness kernel.
DEL-05-01,PKG-05,Primitive load case engine,"Implement load definitions for weight, pressure, thermal, displacement, hydrotest, wind, seismic, and occasional categories.",BACKEND_FEATURE_SLICE,load case model; load application tests,SOW-013,OBJ-003,M,Primitive categories; code combinations remain external.
DEL-05-02,PKG-05,Load-case algebra engine,Implement unit-aware algebra for user-defined combinations and result-state subtraction/ranging.,BACKEND_FEATURE_SLICE,combination engine; expression tests,SOW-014,"OBJ-003,OBJ-005",M,Bounded algebra surface.
DEL-05-03,PKG-05,Fundamental stress recovery module,"Implement mechanics stress recovery from axial force, bending, torsion, pressure, and section properties.",BACKEND_FEATURE_SLICE,stress recovery module; hand-calc tests,SOW-015,OBJ-003,M,Does not encode code stress equations.
DEL-05-04,PKG-05,Analysis status semantics,"Implement explicit statuses for mechanics solved, rule-pack checked, incomplete data, and human-approved/not human-approved.",DATA_MODEL_CHANGE,analysis status enum; API/result fields; tests,SOW-047,"OBJ-005,OBJ-011",S,Small state model with high governance value.
DEL-05-05,PKG-05,Concentrated and distributed user load application,"Implement concentrated forces, concentrated moments, and distributed user loads with unit-aware application and result recovery hooks.",BACKEND_FEATURE_SLICE,load application module; load tests; result hooks,"SOW-052,SOW-013","OBJ-003,OBJ-012",M,Keeps general user loads separate from code-specific combinations.
DEL-06-01,PKG-06,Rule-pack schema,"Define the rule-pack artifact schema: metadata, required inputs, formulas, allowables, statuses, and redistribution flags.",DATA_MODEL_CHANGE,schemas/rule_pack.schema.yaml; docs/SPEC.md update,"SOW-016,SOW-042",OBJ-005,M,Schema and examples only.
DEL-06-02,PKG-06,Sandboxed unit-aware expression evaluator,"Implement safe formula evaluation with unit checking, variable binding, and deterministic error reporting.",BACKEND_FEATURE_SLICE,rule evaluator module; evaluator tests,SOW-045,OBJ-005,L,Security-sensitive and numerically important.
DEL-06-03,PKG-06,Required-input completeness checker,Implement rule-pack completeness checks that block code-check status when required user-supplied inputs are missing.,BACKEND_FEATURE_SLICE,rule completeness checker; tests,SOW-004,"OBJ-002,OBJ-005",M,Connects user data to rule-pack gating.
DEL-06-04,PKG-06,Private rule-pack lifecycle and checksum handling,"Implement versioning, local-private storage markers, checksums, and audit manifest hooks for rule packs.",BACKEND_FEATURE_SLICE,rule pack registry; checksum tests,SOW-042,"OBJ-002,OBJ-005",M,Local lifecycle only; access control details defer to PKG-12.
DEL-06-05,PKG-06,Invented non-code example rule pack,Create a demonstration rule pack using invented values and explicit non-engineering notices.,DOC_UPDATE,examples/rule_packs/invented_demo.yaml; docs/example notice,SOW-016,"OBJ-005,OBJ-011",S,Example only; no proprietary content.
DEL-07-01,PKG-07,3D viewport and centerline editor,"Implement initial viewport interactions for nodes, pipe runs, bends, and simple component symbols.",UX_UI_SLICE,GUI viewport; interaction tests,SOW-020,OBJ-006,L,GUI surface is broad but bounded to viewport/editor.
DEL-07-02,PKG-07,Model tree and property inspector,Implement tree navigation and property panels for selected model entities.,UX_UI_SLICE,model tree; property inspector; UI tests,"SOW-020,SOW-021",OBJ-006,M,Single UI work surface.
DEL-07-03,PKG-07,"Material, component, and rule-pack editors","Implement editors for private materials, components, and rule-pack references.",UX_UI_SLICE,editor panels; validation UI tests,SOW-021,OBJ-006,L,Multiple editors but same GUI domain; may split later.
DEL-07-04,PKG-07,Missing-data warning and blocking UX,"Implement warning classes for solve-required, code-check-required, provenance-missing, and assumption states.",UX_UI_SLICE,warning system UI; UX tests,SOW-022,"OBJ-006,OBJ-011",M,High-value UX slice.
DEL-07-05,PKG-07,Results viewer,"Implement tabular/graphical review for displacements, rotations, forces, moments, reactions, stresses, and ratios.",UX_UI_SLICE,results panels; visual overlays; UI tests,SOW-023,"OBJ-006,OBJ-007",L,Results surface is substantial but one domain.
DEL-07-06,PKG-07,Accessibility and usability baseline,"Define and implement baseline keyboard, contrast, readability, and review-workflow usability requirements.",UX_UI_SLICE,accessibility checklist; UI fixes; tests,SOW-036,OBJ-006,M,May refine once GUI framework chosen.
DEL-07-07,PKG-07,"Solve execution UX: progress, cancellation, and diagnostics","Implement GUI handling for background solve execution, progress display, cancellation, diagnostic logs, and solver warning presentation.",UX_UI_SLICE,solve run panel; progress/cancel controls; diagnostics UI tests,SOW-055,"OBJ-006,OBJ-007",M,Single GUI workflow slice for running and inspecting solves.
DEL-08-01,PKG-08,Calculation report generator,"Implement report generation with model input summary, load cases, results, warnings, and rule-pack references.",BACKEND_FEATURE_SLICE,report renderer; report template; tests,SOW-024,OBJ-007,L,Report is broad but single artifact family.
DEL-08-02,PKG-08,Audit manifest and model hash,"Implement canonical input manifest, model hash, solver version stamp, and rule-pack checksum capture.",BACKEND_FEATURE_SLICE,audit manifest; hash tests,SOW-039,"OBJ-007,OBJ-012",M,Canonicalization TBD but bounded.
DEL-08-03,PKG-08,"Warnings, assumptions, and provenance report section","Implement report sections that expose missing data, assumptions, user-supplied values, and source/provenance notes.",BACKEND_FEATURE_SLICE,report provenance section; tests,SOW-024,"OBJ-007,OBJ-011",M,Leverages warning data from GUI/core.
DEL-08-04,PKG-08,Result export format,"Define and implement machine-readable result export for tests, review, and downstream tooling.",API_CONTRACT,schemas/results.schema.yaml; exporter; tests,SOW-046,"OBJ-007,OBJ-009",M,Format TBD but bounded.
DEL-08-05,PKG-08,Report protected-content linter,Implement checks that prevent public report templates/examples from embedding protected code text/tables/formulas.,TEST_SUITE,report linter; CI guard,SOW-043,"OBJ-002,OBJ-007",M,Heuristic plus review; cannot be sole legal control.
DEL-09-01,PKG-09,Mechanics benchmark suite,"Create benchmark cases for cantilevers, frames, thermal growth, imposed displacement, and stiffness transforms.",TEST_SUITE,validation/benchmarks/mechanics; hand-calc notes,SOW-026,OBJ-008,M,Uses original/public mechanics cases.
DEL-09-02,PKG-09,Stress recovery benchmark suite,"Create stress recovery benchmark cases for axial, bending, torsion, pressure, and stress range behavior.",TEST_SUITE,validation/benchmarks/stress; hand-calc notes,SOW-026,OBJ-008,M,No code formulas.
DEL-09-03,PKG-09,Nonlinear support regression suite,Create active-set/gap/friction/lift-off convergence and regression cases.,TEST_SUITE,validation/benchmarks/nonlinear; regression tests,SOW-026,OBJ-008,M,Depends on nonlinear solver maturity.
DEL-09-04,PKG-09,Validation manual skeleton,"Draft validation manual structure distinguishing verification, validation, user rule checks, and professional reliance.",DOC_UPDATE,docs/VALIDATION_STRATEGY.md; validation manual outline,SOW-027,"OBJ-008,OBJ-011",M,Documentation-oriented.
DEL-09-05,PKG-09,Release quality gate checklist,"Define release gates for solver changes, rule-engine changes, GUI releases, and report-template releases.",CI_CD_CHANGE,release QA checklist; CI quality gates,"SOW-026,SOW-027",OBJ-008,M,Process + CI; bounded.
DEL-10-01,PKG-10,Public API and plugin boundary,"Define public API/plugin boundaries for model import/export, solver invocation, results, and rule-pack hooks.",API_CONTRACT,api/openapi.yaml or equivalent; plugin boundary doc,SOW-030,OBJ-009,M,API details TBD.
DEL-10-02,PKG-10,Import/export adapter framework,Implement adapter shell with provenance capture and validation hooks for external formats.,BACKEND_FEATURE_SLICE,adapter interfaces; sample invented adapter,SOW-030,OBJ-009,L,Actual external formats can be later deliverables.
DEL-10-03,PKG-10,Local FEA handoff data contract,Define export package for local shell/solid FEA handoff and criteria labels for when handoff is recommended.,API_CONTRACT,local FEA handoff schema; docs/local-analysis notes,"SOW-031,SOW-049",OBJ-009,M,"Guidance only, no external FEA implementation."
DEL-10-04,PKG-10,"Build, packaging, and CI/CD pipeline","Implement reproducible builds, tests, packaging skeleton, and release artifacts for supported platforms.",CI_CD_CHANGE,CI workflows; packaging scripts; release notes template,SOW-032,"OBJ-008,OBJ-009",L,Platform list TBD.
DEL-10-05,PKG-10,Headless CLI and structured I/O analysis runner,"Implement a CLI or equivalent headless interface for schema-driven solve execution, benchmark automation, and report/result export before full GUI maturity.",BACKEND_FEATURE_SLICE,CLI runner; structured input/output fixtures; automation docs,"SOW-054,SOW-032","OBJ-008,OBJ-009,OBJ-012",M,Automation surface aligned to R0/R1 release milestones.
DEL-11-01,PKG-11,User guide skeleton,"Create user guide structure for project setup, modeling, solving, rule checks, reports, and limitations.",DOC_UPDATE,docs/user_guide/index.md,SOW-033,"OBJ-001,OBJ-011",M,Documentation only.
DEL-11-02,PKG-11,Developer guide for solver and rule packs,"Create developer guide for solver architecture, rule-pack schema, test discipline, and contribution boundaries.",DOC_UPDATE,docs/developer_guide/index.md,SOW-033,"OBJ-001,OBJ-002",M,Documentation only.
DEL-11-03,PKG-11,Theory notes: classical to modern centerline analysis,Draft theory notes explaining the classical flexibility lineage and modern 3D frame implementation without copying protected standards.,DOC_UPDATE,docs/theory/centerline_analysis.md,SOW-033,"OBJ-001,OBJ-003",M,Should cite public/permissive sources; no formula copying from standards.
DEL-11-04,PKG-11,Invented educational example models,Create invented-data example models for mechanics-only and fake-rule-pack demonstrations.,DOC_UPDATE,examples/models/invented/*; tutorials,SOW-033,"OBJ-001,OBJ-008",M,Examples must be clearly non-code.
DEL-11-05,PKG-11,Contributor tutorial and onboarding,Create onboarding path for new contributors using package/deliverable decomposition and governance docs.,DOC_UPDATE,CONTRIBUTING tutorial; docs/AGENTIC_DEVELOPMENT_WORKFLOW.md,SOW-033,"OBJ-001,OBJ-002",S,Documentation only.
DEL-12-01,PKG-12,Local-first storage and private data paths,Define and implement private data storage conventions outside public repository paths.,SECURITY_CONTROL,storage policy; private path conventions; tests,SOW-029,OBJ-010,M,Implementation depends on chosen stack.
DEL-12-02,PKG-12,Private data redaction and export controls,Implement export/report safeguards that warn or redact private rule/material/component values where configured.,SECURITY_CONTROL,redaction config; export tests,SOW-040,OBJ-010,M,Security-sensitive but bounded.
DEL-12-03,PKG-12,Telemetry off-by-default design,Define and implement telemetry policy with opt-in only behavior and no private engineering data transmission.,SECURITY_CONTROL,telemetry policy; config defaults; tests,SOW-037,OBJ-010,S,May be no-op in MVP.
DEL-12-04,PKG-12,Secret and private-library handling,"Implement protections for private libraries, paths, and credentials used by imports or private storage.",SECURITY_CONTROL,private library registry; secret handling tests,"SOW-040,SOW-029",OBJ-010,M,Avoids cloud assumptions.
DEL-12-05,PKG-12,Security threat model,"Draft and maintain threat model for private data, report sharing, plugins, imports, and supply chain.",DOC_UPDATE,docs/security/threat_model.md,SOW-040,OBJ-010,M,Document now; update as architecture matures.
