DeliverableID,PackageID,Name,Description,Type,AnticipatedArtifacts,CoversScopeItems,SupportsObjectives,ContextEnvelope,ContextEnvelopeNotes
DEL-06-05,PKG-06,Invented non-code example rule pack,Create a demonstration rule pack using invented values and explicit non-engineering notices.,DOC_UPDATE,examples/rule_packs/invented_demo.yaml; docs/example notice,SOW-016,"OBJ-005,OBJ-011",S,Example only; no proprietary content.
DEL-07-01,PKG-07,3D viewport and centerline editor,"Implement initial viewport interactions for nodes, pipe runs, bends, and simple component symbols.",UX_UI_SLICE,GUI viewport; interaction tests,SOW-020,OBJ-006,L,Viewport baseline is Tauri/React/Vite with Three.js; component/state details remain TBD.
DEL-07-02,PKG-07,Model tree and property inspector,Implement tree navigation and property panels for selected model entities.,UX_UI_SLICE,model tree; property inspector; UI tests,"SOW-020,SOW-021",OBJ-006,M,Single UI work surface.
DEL-07-03,PKG-07,"Material, component, and rule-pack editors","Implement editors for private materials, components, and rule-pack references.",UX_UI_SLICE,editor panels; validation UI tests,SOW-021,OBJ-006,L,Multiple editors but same GUI domain; may split later.
DEL-07-04,PKG-07,Missing-data warning and blocking UX,"Implement warning classes for solve-required, code-check-required, provenance-missing, and assumption states.",UX_UI_SLICE,warning system UI; UX tests,SOW-022,"OBJ-006,OBJ-011",M,High-value UX slice.
DEL-07-05,PKG-07,Results viewer,"Implement tabular/graphical review for displacements, rotations, forces, moments, reactions, stresses, and ratios.",UX_UI_SLICE,results panels; visual overlays; UI tests,SOW-023,"OBJ-006,OBJ-007",L,Results surface is substantial but one domain.
DEL-07-06,PKG-07,Accessibility and usability baseline,"Define and implement baseline keyboard, contrast, readability, and review-workflow usability requirements.",UX_UI_SLICE,accessibility checklist; UI fixes; tests,SOW-036,OBJ-006,M,May refine once GUI framework chosen.
DEL-07-07,PKG-07,"Solve execution UX: progress, cancellation, and diagnostics","Implement GUI handling for background solve execution, progress display, cancellation, diagnostic logs, and solver warning presentation.",UX_UI_SLICE,solve run panel; progress/cancel controls; diagnostics UI tests,SOW-055,"OBJ-006,OBJ-007",M,Solve UX must use command/job cancellation/progress and diagnostics/result-envelope contracts.
DEL-08-01,PKG-08,Calculation report generator,"Implement report generation with model input summary, load cases, results, warnings, and rule-pack references.",BACKEND_FEATURE_SLICE,report renderer; report template; tests,SOW-024,OBJ-007,L,Report is broad but single artifact family.
DEL-08-02,PKG-08,Audit manifest and model hash,"Implement canonical input manifest, model hash, solver version stamp, and rule-pack checksum capture.",BACKEND_FEATURE_SLICE,audit manifest; hash tests,SOW-039,"OBJ-007,OBJ-012",M,Audit manifest/model hash uses canonical JSON/JCS hash basis for JSON payloads; binary assets use manifest hashes.
DEL-08-03,PKG-08,"Warnings, assumptions, and provenance report section","Implement report sections that expose missing data, assumptions, user-supplied values, and source/provenance notes.",BACKEND_FEATURE_SLICE,report provenance section; tests,SOW-024,"OBJ-007,OBJ-011",M,Leverages warning data from GUI/core.
DEL-08-04,PKG-08,Result export format,"Define and implement machine-readable result export for tests, review, and downstream tooling.",API_CONTRACT,schemas/results.schema.yaml; exporter; tests,SOW-046,"OBJ-007,OBJ-009",M,Result export baseline is schema-first JSON result envelopes; additional export formats remain TBD.
DEL-08-05,PKG-08,Report protected-content linter,Implement checks that prevent public report templates/examples from embedding protected code text/tables/formulas.,TEST_SUITE,report linter; CI guard,SOW-043,"OBJ-002,OBJ-007",M,Heuristic plus review; cannot be sole legal control.
DEL-09-01,PKG-09,Mechanics benchmark suite,"Create benchmark cases for cantilevers, frames, thermal growth, imposed displacement, and stiffness transforms.",TEST_SUITE,validation/benchmarks/mechanics; hand-calc notes,SOW-026,OBJ-008,M,Uses original/public mechanics cases.
DEL-09-02,PKG-09,Stress recovery benchmark suite,"Create stress recovery benchmark cases for axial, bending, torsion, pressure, and stress range behavior.",TEST_SUITE,validation/benchmarks/stress; hand-calc notes,SOW-026,OBJ-008,M,No code formulas.
DEL-09-03,PKG-09,Nonlinear support regression suite,Create active-set/gap/friction/lift-off convergence and regression cases.,TEST_SUITE,validation/benchmarks/nonlinear; regression tests,SOW-026,OBJ-008,M,Depends on nonlinear solver maturity.
DEL-09-04,PKG-09,Validation manual skeleton,"Draft validation manual structure distinguishing verification, validation, user rule checks, and professional reliance.",DOC_UPDATE,docs/VALIDATION_STRATEGY.md; validation manual outline,SOW-027,"OBJ-008,OBJ-011",M,Documentation-oriented.
DEL-09-05,PKG-09,Release quality gate checklist,"Define release gates for solver changes, rule-engine changes, GUI releases, and report-template releases.",CI_CD_CHANGE,release QA checklist; CI quality gates,"SOW-026,SOW-027",OBJ-008,M,Process + CI; bounded.
DEL-10-01,PKG-10,Public API and plugin boundary,"Define public API/plugin boundaries for model import/export, solver invocation, results, and rule-pack hooks.",API_CONTRACT,api/openapi.yaml or equivalent; plugin boundary doc,SOW-030,OBJ-009,M,Public API/plugin boundary uses schema-first envelopes and no-bypass adapter constraints; transport remains TBD.
DEL-10-02,PKG-10,Import/export adapter framework,Implement adapter shell with provenance capture and validation hooks for external formats.,BACKEND_FEATURE_SLICE,adapter interfaces; sample invented adapter,SOW-030,OBJ-009,L,Adapter framework must validate units/provenance/redistribution/diagnostics/private-boundary constraints; formats remain later deliverables.
DEL-10-03,PKG-10,Local FEA handoff data contract,Define export package for local shell/solid FEA handoff and criteria labels for when handoff is recommended.,API_CONTRACT,local FEA handoff schema; docs/local-analysis notes,"SOW-031,SOW-049",OBJ-009,M,"Guidance only, no external FEA implementation."
DEL-10-04,PKG-10,"Build, packaging, and CI/CD pipeline","Implement reproducible builds, tests, packaging skeleton, and release artifacts for supported platforms.",CI_CD_CHANGE,CI workflows; packaging scripts; release notes template,SOW-032,"OBJ-008,OBJ-009",L,Packaging baseline follows Tauri-supported desktop targets with Cargo/Vitest/Playwright gates; CI provider/release matrix TBD.
DEL-10-05,PKG-10,Headless CLI and structured I/O analysis runner,"Implement a CLI or equivalent headless interface for schema-driven solve execution, benchmark automation, and report/result export before full GUI maturity.",BACKEND_FEATURE_SLICE,CLI runner; structured input/output fixtures; automation docs,"SOW-054,SOW-032","OBJ-008,OBJ-009,OBJ-012",M,Headless runner must align with schema-first command/query/job envelopes and result exports.
DEL-11-01,PKG-11,User guide skeleton,"Create user guide structure for project setup, modeling, solving, rule checks, reports, and limitations.",DOC_UPDATE,docs/user_guide/index.md,SOW-033,"OBJ-001,OBJ-011",M,Documentation only.
DEL-11-02,PKG-11,Developer guide for solver and rule packs,"Create developer guide for solver architecture, rule-pack schema, test discipline, and contribution boundaries.",DOC_UPDATE,docs/developer_guide/index.md,SOW-033,"OBJ-001,OBJ-002",M,Documentation only.
DEL-11-03,PKG-11,Theory notes: classical to modern centerline analysis,Draft theory notes explaining the classical flexibility lineage and modern 3D frame implementation without copying protected standards.,DOC_UPDATE,docs/theory/centerline_analysis.md,SOW-033,"OBJ-001,OBJ-003",M,Should cite public/permissive sources; no formula copying from standards.
DEL-11-04,PKG-11,Invented educational example models,Create invented-data example models for mechanics-only and fake-rule-pack demonstrations.,DOC_UPDATE,examples/models/invented/*; tutorials,SOW-033,"OBJ-001,OBJ-008",M,Examples must be clearly non-code.
DEL-11-05,PKG-11,Contributor tutorial and onboarding,Create onboarding path for new contributors using package/deliverable decomposition and governance docs.,DOC_UPDATE,CONTRIBUTING tutorial; docs/AGENTIC_DEVELOPMENT_WORKFLOW.md,SOW-033,"OBJ-001,OBJ-002",S,Documentation only.
DEL-12-01,PKG-12,Local-first storage and private data paths,Define and implement private data storage conventions outside public repository paths.,SECURITY_CONTROL,storage policy; private path conventions; tests,SOW-029,OBJ-010,M,Private storage must align with local-first persistence baseline; physical container remains TBD.
DEL-12-02,PKG-12,Private data redaction and export controls,Implement export/report safeguards that warn or redact private rule/material/component values where configured.,SECURITY_CONTROL,redaction config; export tests,SOW-040,OBJ-010,M,Security-sensitive but bounded.
DEL-12-03,PKG-12,Telemetry off-by-default design,Define and implement telemetry policy with opt-in only behavior and no private engineering data transmission.,SECURITY_CONTROL,telemetry policy; config defaults; tests,SOW-037,OBJ-010,S,May be no-op in MVP.
DEL-12-04,PKG-12,Secret and private-library handling,"Implement protections for private libraries, paths, and credentials used by imports or private storage.",SECURITY_CONTROL,private library registry; secret handling tests,"SOW-040,SOW-029",OBJ-010,M,Avoids cloud assumptions.
DEL-12-05,PKG-12,Security threat model,"Draft and maintain threat model for private data, report sharing, plugins, imports, and supply chain.",DOC_UPDATE,docs/security/threat_model.md,SOW-040,OBJ-010,M,Document now; update as architecture matures.
DEL-07-08,PKG-07,Design-authoring state and comparison workspace,"Implement GUI panels and overlays for design knowledge, operation/diff review, state/run browsing, comparison tables, and graphical comparison review.",UX_UI_SLICE,GUI design knowledge panel; operation diff review; state/run browser; comparison overlays,SOW-076,"OBJ-015,OBJ-016",L,Adds design-authoring and comparison workspace to the GUI workflow.
DEL-08-06,PKG-08,"State, comparison, and handoff report sections","Implement report sections generated from model states, analysis runs, comparisons, and handoff manifests without implying professional validation.",BACKEND_FEATURE_SLICE,state/run report sections; comparison report section; handoff manifest report section,SOW-024,"OBJ-007,OBJ-016,OBJ-017,OBJ-018",M,Reports draw from state/run/comparison/handoff records and preserve professional-boundary wording.
DEL-13-01,PKG-13,Design knowledge schema and provenance model,"Define design knowledge records for endpoints, line data, routing corridors, zones, equipment interfaces, access/slope requirements, source notes, and assumptions.",DATA_MODEL_CHANGE,schemas/design_knowledge.schema.json; design knowledge provenance model,SOW-067,OBJ-014,M,No protected owner standards or project data in public examples.
DEL-13-02,PKG-13,Constraint entity and provenance model,"Represent connectivity, clearance, no-go, support-zone, slope/drain/vent, and missing-data constraints with provenance.",DATA_MODEL_CHANGE,schemas/constraint.schema.json; constraint provenance model,"SOW-068,SOW-067","OBJ-014,OBJ-018",M,Constraint records must identify user/project/import/agent/source provenance where known.
DEL-13-03,PKG-13,Constraint validation engine,Implement deterministic validation messages for available design constraints and missing data.,BACKEND_FEATURE_SLICE,constraint validation module; validation diagnostics tests,SOW-068,OBJ-014,M,Does not infer hidden owner standards or protected code requirements.
DEL-13-04,PKG-13,Physical-to-analytical transformation contract,Implement the contract for deriving solver-ready analytical models from physical models with traceable transformation warnings.,BACKEND_FEATURE_SLICE,physical-to-analytical transform contract; transform warning tests,SOW-066,OBJ-014,L,First-class bridge from design authoring to solver execution.
DEL-14-01,PKG-14,Immutable model state records,"Define and implement immutable model state records with names, tags, notes, external references, assumptions, warnings, and hashes.",DATA_MODEL_CHANGE,schemas/model_state.schema.json; model state persistence tests,SOW-071,OBJ-016,M,Flexible metadata only; no formal prover approval statuses.
DEL-14-02,PKG-14,Analysis run records,"Define and implement analysis run records bound to model states, solver versions, settings, units, load cases, diagnostics, results, and hashes.",DATA_MODEL_CHANGE,schemas/analysis_run.schema.json; run reproducibility tests,SOW-072,OBJ-016,M,Results attach to immutable run records.
DEL-14-03,PKG-14,Model-state comparison engine,Implement deterministic state diffs using stable IDs and explicit mapping records.,BACKEND_FEATURE_SLICE,state comparison engine; state diff tests,"SOW-073,SOW-071",OBJ-016,L,Reports added/removed/changed/unchanged model entities.
DEL-14-04,PKG-14,Analysis-run comparison engine,"Implement unit-normalized result deltas for mapped entities, diagnostics, and settings.",BACKEND_FEATURE_SLICE,run comparison engine; result delta tests,"SOW-073,SOW-072",OBJ-016,L,Comparison is diagnostic/audit functionality only.
DEL-14-05,PKG-14,"Comparison mapping, tolerance, and export contracts","Define manual mappings, unmatched classifications, tolerance profiles, and CSV/JSON/report-section exports.",API_CONTRACT,comparison mapping schema; tolerance profile schema; comparison exporters,SOW-073,OBJ-016,M,Future external result states may be represented without changing core compare logic.
DEL-15-01,PKG-15,Canonical handoff package schema and manifest,"Define handoff package schema and manifest with hashes, units, entity IDs, library/rule refs, warnings, assumptions, and provenance.",API_CONTRACT,schemas/handoff_package.schema.json; handoff manifest schema,SOW-074,OBJ-017,M,Package is for downstream modeling and professional validation workflows.
DEL-15-02,PKG-15,Target mapping and unsupported-behavior contract,Define target mapping metadata and unsupported/approximate behavior flags for handoff exports.,API_CONTRACT,target mapping schema; unsupported behavior taxonomy,SOW-074,OBJ-017,M,Avoids silent loss of critical assumptions or unsupported target behavior.
DEL-15-03,PKG-15,Downstream modeling export workflow,Implement generic handoff export workflow before target-specific commercial-tool parsers are in scope.,BACKEND_FEATURE_SLICE,handoff exporter; export validation tests; invented target fixture,SOW-074,OBJ-017,L,Target-specific commercial stress output parsers remain deferred.
DEL-15-04,PKG-15,External prover boundary metadata,"Implement flexible external-reference metadata without hard-coded approval, certification, or code-compliance statuses.",DATA_MODEL_CHANGE,external reference fields; boundary validation tests,SOW-075,"OBJ-017,OBJ-018",M,Preserves non-authoritative professional reliance boundary.
DEL-16-01,PKG-16,Structured model operation schema,"Define structured add, move, modify, delete, reconnect, constraint, load, support, and design-knowledge operations.",DATA_MODEL_CHANGE,schemas/model_operation.schema.json; operation fixtures,SOW-069,OBJ-015,M,Operations are the only model mutation route for GUI and agent proposals.
DEL-16-02,PKG-16,Operation validation and diff preview,Run schema and constraint validation and create deterministic previews before applying operations.,BACKEND_FEATURE_SLICE,operation validator; diff preview service; validation tests,SOW-069,OBJ-015,M,Blocks invalid operations before application.
DEL-16-03,PKG-16,User acceptance and operation audit trail,"Record accepted/rejected operations, affected entities, actor/source metadata, timestamps, and assumptions.",BACKEND_FEATURE_SLICE,operation audit log; acceptance workflow tests,"SOW-069,SOW-070",OBJ-015,M,Default workflow requires user acceptance unless later explicitly changed.
DEL-16-04,PKG-16,Agent rationale and professional-boundary controls,"Capture agent rationale and unresolved assumptions while preventing certification, approval, or code-compliance claims.",SECURITY_CONTROL,agent rationale record; professional-boundary guard tests,SOW-070,"OBJ-015,OBJ-018",S,Agent output cannot become accepted engineering work by itself.
