ScopeItemID,InOutStatus,ScopeItemStatement,SourceRef,PackageID,DeliverableIDs,ObjectiveIDs,DecisionRef,OpenIssue,Notes
SOW-013,IN,"The analysis engine shall support primitive load cases for weight, pressure, thermal expansion, imposed displacement, hydrotest, wind, seismic, and occasional loads.",PRD §11.5,PKG-05,"DEL-05-01, DEL-05-05",OBJ-003,,FALSE,Dynamic modules may be deferred.
SOW-014,IN,The analysis engine shall support unit-aware load-case algebra and user-defined combinations.,PRD §11.6,PKG-05,DEL-05-02,"OBJ-003, OBJ-005",,FALSE,Code-specific combinations supplied by user rule packs.
SOW-015,IN,"The stress module shall recover fundamental mechanics stresses from forces, moments, pressure, and section properties.",PRD §11.7,PKG-05,DEL-05-03,OBJ-003,,FALSE,Code stress categories are rule-pack mappings.
SOW-016,IN,"The product shall provide a private rule-pack schema for user-defined stress checks, allowables, formulas, and pass/fail criteria.",INTENT.md §Rule-pack intent; PRD §12,PKG-06,"DEL-06-01, DEL-06-05","OBJ-002, OBJ-005",,FALSE,Public examples must use invented values.
SOW-017,IN,"The product shall support private material libraries with temperature-dependent properties, allowables, and provenance fields.",PRD §13.1,PKG-03,DEL-03-01,OBJ-004,,FALSE,No public ASME material allowable tables.
SOW-018,IN,The product shall support private pipe section and component libraries with provenance and redistribution status.,PRD §13.2-§13.4,PKG-03,"DEL-03-02, DEL-03-08",OBJ-004,,FALSE,Public data requires documented rights.
SOW-019,IN,The public project shall accept component data only when provenance and redistribution rights are documented.,"PRD §13.4, §17.2",PKG-03,DEL-03-07,OBJ-004,,FALSE,Contributor certification required.
SOW-020,IN,The GUI shall provide a 3D centerline modeler with model tree and piping component visualization.,PRD §14.1-§14.2,PKG-07,"DEL-07-01, DEL-07-02",OBJ-006,DEC-009,FALSE,GUI baseline is Tauri 2 desktop shell with TypeScript/React/Vite and Three.js viewport; exact component/state libraries remain implementation TBD.
SOW-021,IN,"The GUI shall provide editors for materials, sections, components, load cases, supports, rule packs, and private libraries.","PRD §14.3, §14.5-§14.6",PKG-07,"DEL-07-02, DEL-07-03",OBJ-006,,FALSE,Workflow should surface missing data early.
SOW-022,IN,The GUI shall distinguish data required for solving from data required for code checking and shall block/qualify results when required data is missing.,PRD §14.4,PKG-07,DEL-07-04,OBJ-006,,FALSE,No silent engineering defaults.
SOW-023,IN,"The GUI shall provide results review for displacements, rotations, forces, moments, restraint reactions, equipment loads, stresses, and ratios.","PRD §14.2, §15.1",PKG-07,DEL-07-05,OBJ-006,,FALSE,Stress ratios depend on rule pack completeness.
SOW-024,IN,"The product shall generate auditable calculation reports including inputs, sources, warnings, assumptions, results, rule-pack checksums, and limitations.",PRD §15,PKG-08,"DEL-08-01, DEL-08-03, DEL-08-06","OBJ-001, OBJ-007",,FALSE,Reports must not reproduce protected standards content.
SOW-025,IN,"All calculations, schemas, imports, exports, and rule evaluations shall be unit-aware.",PRD §6.6,PKG-02,DEL-02-02,OBJ-012,,FALSE,Unit conversions must be deterministic and testable.
SOW-026,IN,"The project shall maintain verification benchmarks, regression tests, and numerical quality checks for solver and stress recovery behavior.",PRD §16.2-§16.4,PKG-09,"DEL-09-01, DEL-09-02, DEL-09-03, DEL-09-05",OBJ-008,,FALSE,Benchmark sources must be public/original/permissive.
SOW-027,IN,The project shall maintain a validation manual that distinguishes mechanics verification from code compliance and professional signoff.,PRD §16.5,PKG-09,"DEL-09-04, DEL-09-05",OBJ-008,,FALSE,Human engineering judgment remains required.
SOW-028,IN,"The repository shall include contributor governance, IP controls, and review procedures preventing copyrighted standards data from entering the public project.",PRD §17.1-§17.2,PKG-01,"DEL-01-02, DEL-01-03",OBJ-002,,FALSE,Use stop-and-escalate for suspected protected content.
SOW-029,IN,"The product shall be local-first and shall protect private rule packs, private material data, private component data, and project models.","PRD §18.1, §18.3",PKG-12,"DEL-12-01, DEL-12-04",OBJ-010,,FALSE,Cloud services are out of MVP unless approved.
SOW-030,IN,"The architecture shall support public APIs, plugins, and import/export adapters for integration with external tools.",PRD §19.3,PKG-10,"DEL-10-01, DEL-10-02",OBJ-009,DEC-010,FALSE,API baseline is schema-first command/query/job result envelopes; public transport protocol and external format list remain TBD.
SOW-031,IN,The product shall support optional handoff of selected local-detail problems to external shell/solid FEA workflows.,"INTENT.md §Analytical engine intent; PRD §4.2, §19",PKG-10,DEL-10-03,OBJ-009,,FALSE,Local FEA is not the normal global analysis method.
SOW-032,IN,"The project shall provide reproducible build, packaging, and CI/CD workflows for supported platforms.",PRD §22,PKG-10,"DEL-10-04, DEL-10-05",OBJ-008,DEC-009; DEC-011,FALSE,Desktop packaging baseline follows Tauri-supported macOS/Windows/Linux targets; CI host and release matrix details remain TBD.
SOW-033,IN,The project shall provide user/developer documentation and invented-data examples for education and testing.,"PRD §7.5, §16.5, §22",PKG-11,"DEL-11-01, DEL-11-02, DEL-11-03, DEL-11-04, DEL-11-05",OBJ-001,,FALSE,No protected examples.
SOW-034,IN,"The product shall preserve professional responsibility boundaries: agents/software do not certify, approve, seal, or declare engineering code compliance for reliance.","PROFESSIONAL_ENGINEERING.md; CHIRALITY_FRAMEWORK.md; PRD §5, §17.4",PKG-01,DEL-01-04,OBJ-011,,FALSE,"Reports may show user-rule pass/fail, not human code compliance."
SOW-035,IN,The solver shall be designed for sparse numerical performance and reproducible results on practical piping models.,"PRD §11.8, §20",PKG-04,"DEL-04-01, DEL-04-05, DEL-04-06",OBJ-003,,FALSE,Performance targets TBD.
SOW-036,IN,The GUI and reports shall support baseline accessibility and usability appropriate for engineering review.,PRD §21,PKG-07,DEL-07-06,OBJ-006,,FALSE,Detailed WCAG target TBD.
SOW-037,IN,"Telemetry, if implemented, shall be opt-in, privacy-preserving, and shall not transmit private project/code data.",PRD §18.2,PKG-12,DEL-12-03,OBJ-010,,FALSE,MVP default is no telemetry.
SOW-038,IN,"The software architecture shall be extensible without allowing plugins/adapters to bypass governance, unit safety, or data-boundary constraints.",PRD §19.1-§19.3,PKG-02,DEL-02-04,OBJ-009,DEC-010,FALSE,"Plugin/adapter baseline is deny-bypass: units, provenance, diagnostics, rule sandboxing, and report controls remain mandatory; detailed permissions TBD."
SOW-039,IN,"The product shall produce reproducibility artifacts such as model hashes, solver version, rule-pack checksum, and input manifest.",PRD §15.3,PKG-08,DEL-08-02,OBJ-007,DEC-010,FALSE,Canonical JSON with JCS-compatible hashing is the JSON payload hash basis; non-JSON/binary assets require manifest hashes.
SOW-040,IN,"The product shall implement private data handling controls, including redaction/export safeguards where reports or shared models may expose protected/private values.",PRD §18.3,PKG-12,"DEL-12-02, DEL-12-04, DEL-12-05",OBJ-010,,FALSE,Detailed threat model TBD.
SOW-041,IN,"The project shall define machine-readable project, model, material, component, load, result, and report schemas.","PRD §19.1, Appendix A",PKG-02,"DEL-02-01, DEL-02-05","OBJ-001, OBJ-012",DEC-010,FALSE,JSON Schema 2020-12 is the public schema/interchange baseline; code-generation tooling remains TBD.
SOW-042,IN,"Rule packs shall be versioned, source-noted, checksum-addressed, and explicitly marked for redistribution status.",INTENT.md §Rule-pack intent; PRD §12.4,PKG-06,"DEL-06-01, DEL-06-04","OBJ-002, OBJ-005",,FALSE,Private rule packs should not be committed publicly.
SOW-043,IN,"The report system shall prohibit automatic inclusion of protected code text, copied standards tables, or proprietary formulas in generated public reports/templates.",PRD §15.2,PKG-08,DEL-08-05,OBJ-007,,FALSE,User-private report templates remain user responsibility.
SOW-044,IN,The product shall provide import mechanisms that record source/provenance/license metadata for component and material data.,PRD §13.5,PKG-03,DEL-03-07,OBJ-004,,FALSE,Importer may reject/flag missing provenance.
SOW-045,IN,"The rule-pack evaluator shall be sandboxed and unit-aware, not arbitrary executable code.",PRD §12.3,PKG-06,DEL-06-02,OBJ-005,,FALSE,Expression language TBD.
SOW-046,IN,"The product shall support result exports suitable for review, regression comparison, and downstream tooling.","PRD §15.1, §19.3",PKG-08,DEL-08-04,OBJ-007,DEC-010,FALSE,Structured result export baseline is schema-first JSON result envelopes for review/regression; additional export formats remain TBD.
SOW-047,IN,"The product shall clearly distinguish mechanics solved, rule-pack checked, and professionally code-compliant/human-approved states.","INTENT.md §GUI intent; PRD §6.2, §17.4",PKG-05,DEL-05-04,"OBJ-005, OBJ-011",,FALSE,Human approval is outside software authority.
SOW-048,IN,"The project shall define open-source license, governance, release, and maintainer policies.","PRD §17.2, §22",PKG-01,"DEL-01-01, DEL-01-03",OBJ-002,,FALSE,License selection TBD.
SOW-049,IN,The project shall define criteria for when global beam analysis is sufficient and when local shell/solid analysis handoff is needed.,INTENT.md §Analytical engine intent; PRD §4.2,PKG-10,DEL-10-03,OBJ-009,,FALSE,"Criteria are guidance, not automatic certification."
SOW-050,IN,"The product shall support create/open/save/versioned project persistence with deterministic round-trip serialization of models, units, loads, rule-pack references, and provenance metadata.",PRD §10 FR-001; PRD §27,PKG-02,DEL-02-05,"OBJ-001, OBJ-012",DEC-006; DEC-010,FALSE,Persistence baseline is versioned JSON-schema-governed canonical JSON with migration status and JCS-compatible hashes; physical project package/container remains TBD.
SOW-051,IN,The product shall calculate pipe section and mass properties from user-entered dimensions and material data with unit checks.,PRD §10 FR-005; PRD §13.2,PKG-03,DEL-03-08,"OBJ-004, OBJ-012",DEC-006,FALSE,No protected pipe dimensional tables are introduced.
SOW-052,IN,"The load engine shall support concentrated forces, concentrated moments, and distributed user loads in addition to core primitive piping load categories.",PRD §10 FR-007; PRD §11.5,PKG-05,DEL-05-05,"OBJ-003, OBJ-012",DEC-006,FALSE,Code-specific load combinations remain user/rule-pack supplied.
SOW-053,IN,"The solver shall detect and report singular, ill-conditioned, and nonconverged analysis states with deterministic diagnostics.",PRD §11.8; PRD §20; PRD §22.2,PKG-04,DEL-04-06,"OBJ-003, OBJ-008, OBJ-012",DEC-006,FALSE,Supports the R1 exit criterion that the solver detects singular models.
SOW-054,IN,"The project shall provide a headless command-line or structured I/O analysis runner for early solver verification, regression, and automation workflows.",PRD §19.3; PRD §22.1,PKG-10,DEL-10-05,"OBJ-008, OBJ-009, OBJ-012",DEC-006,FALSE,Provides the R0/R1 path before full GUI maturity.
SOW-055,IN,"The GUI shall keep solve execution reviewable with background solve execution, progress, cancellation, and diagnostic presentation.",PRD §20; PRD §21; PRD §22.3,PKG-07,DEL-07-07,"OBJ-006, OBJ-007",DEC-006,FALSE,Keeps GUI responsiveness and diagnostic traceability visible to users.
SOW-056,IN,"The project shall select and record implementation stack, runtime, GUI framework, solver-library, and packaging target decisions before implementation work proceeds.","Architecture runway amendment v0.3; PRD §19.2, §22, §25 Open Question 3",PKG-00,DEL-00-01,OBJ-013,DEC-007; DEC-009; DEC-012,FALSE,Architecture baseline selected by SCA-001; exact dependency versions and solver numerical library remain implementation-level TBD.
SOW-057,IN,"The project shall define repository/module architecture, ownership boundaries, dependency rules, and layer responsibilities before package-level implementation proceeds.","Architecture runway amendment v0.3; SPEC §1-§2",PKG-00,DEL-00-02,OBJ-013,DEC-007; DEC-008; DEC-009,FALSE,Repository/module decisions are injected through SCA-001 architecture basis; concrete folder names may refine during implementation without changing layer responsibilities.
SOW-058,IN,"The project shall define application-service command, query, background job, cancellation, and transaction boundaries between GUI, headless runner, domain core, solver, storage, and reporting.","Architecture runway amendment v0.3; PRD §20, §22.1-§22.3; SPEC §1",PKG-00,DEL-00-03,OBJ-013,DEC-007; DEC-010,FALSE,Command/query/job and result-envelope boundaries are dispatch constraints; concrete interface language details remain implementation-level TBD.
SOW-059,IN,"The project shall define persistence format, schema-versioning, migration, canonicalization, and deterministic round-trip strategy before project-file implementation proceeds.","Architecture runway amendment v0.3; SOW-050; PRD §27",PKG-00,DEL-00-04,OBJ-013,DEC-007; DEC-010,FALSE,Persistence architecture basis selected by SCA-001; physical container and migration framework remain TBD.
SOW-060,IN,"The project shall define GUI state, editing, selection, undo/redo, viewport integration, and user workflow architecture before GUI feature slices proceed.","Architecture runway amendment v0.3; PRD §14, §20, §21",PKG-00,DEL-00-05,OBJ-013,DEC-007; DEC-009,FALSE,"GUI state basis selected by SCA-001: durable/transient split, service-command mutation route, and scoped undo/redo; exact state library remains TBD."
SOW-061,IN,"The project shall define diagnostics, warning classes, errors, result envelopes, and user-facing/machine-readable failure contracts across solver, rule packs, GUI, CLI, reports, and adapters.","Architecture runway amendment v0.3; SOW-022, SOW-053, SOW-055; SPEC §7",PKG-00,DEL-00-06,OBJ-013,DEC-007; DEC-010,FALSE,Diagnostics/result-envelope basis selected by SCA-001; exact schema syntax and localization policy remain TBD.
SOW-062,IN,"The project shall define public and internal API boundaries between GUI, application services, domain core, solver, storage, reporting, private libraries, plugins, and adapters.","Architecture runway amendment v0.3; SOW-030, SOW-038; SPEC §1",PKG-00,"DEL-00-02, DEL-00-03, DEL-00-07",OBJ-013,DEC-007; DEC-010,FALSE,API boundary basis selected by SCA-001: schema-first envelopes and no-bypass adapters/plugins; public transport protocol remains TBD.
SOW-063,IN,"The project shall define layered software test strategy and acceptance gates for architecture, schemas, services, solver, GUI, CLI, reports, packaging, security, and regressions.","Architecture runway amendment v0.3; SOW-026, SOW-032; PRD §16, §22",PKG-00,DEL-00-08,OBJ-013,DEC-007; DEC-011,FALSE,"Layered test basis selected by SCA-001: Cargo, Vitest, Playwright, validation and protected-content gates; CI provider and thresholds remain TBD."
SOW-064,IN,The product shall be scoped as an analysis-grade piping design engine and stress-model authoring environment with a full internal solver and non-authoritative professional reliance boundary.,PRD v0.2 §1-§5; Scope Change Brief §1-§2,PKG-01,DEL-01-04,"OBJ-014, OBJ-018",DEC-013,FALSE,Supersedes the narrower product framing while preserving solver seriousness and professional-boundary limits.
SOW-065,IN,"The schema-backed physical model shall be the source of truth for editable piping design data, including geometry, components, supports, equipment interfaces, loads, constraints, provenance, unresolved assumptions, and warnings.","PRD v0.2 §5.2, §8.2, FR-MOD-002, FR-MOD-005, FR-MOD-006",PKG-02,DEL-02-01,OBJ-014,DEC-013,FALSE,Physical model is richer than the solver-ready analytical model.
SOW-066,IN,The product shall transform the physical model into a solver-ready analytical model deterministically and record transformation warnings when physical design data cannot be represented analytically.,"PRD v0.2 §8.3, FR-MOD-007",PKG-13,DEL-13-04,OBJ-014,DEC-014,FALSE,Transformation is a first-class contract between design authoring and solver execution.
SOW-067,IN,"The product shall support user-supplied design knowledge such as endpoints, line data, routing corridors, no-go volumes, supportable zones, equipment interfaces, access constraints, slope/drain/vent requirements, and owner/project metadata.","PRD v0.2 §8.1, §11.2, §13.1",PKG-13,"DEL-13-01, DEL-13-02","OBJ-014, OBJ-018",DEC-014,FALSE,Design knowledge remains user/project supplied; no protected owner or standards data is bundled.
SOW-068,IN,"The constraint system shall validate available design knowledge for connectivity, route conflicts, clearance conflicts, support-zone conflicts, slope/drain/vent conflicts, and missing required data with provenance-aware messages.",PRD v0.2 FR-KNOW-002 through FR-KNOW-004; §13.2,PKG-13,"DEL-13-02, DEL-13-03",OBJ-014,DEC-014,FALSE,"Constraint failures are validation messages, not hidden report prose or agent text."
SOW-069,IN,"All GUI and agent edits shall be represented as structured model operations that pass schema validation, constraint validation, diff preview, and controlled application through the model engine.","PRD v0.2 §5.3, §10.3, FR-AGENT-001 through FR-AGENT-003",PKG-16,"DEL-16-01, DEL-16-02, DEL-16-03",OBJ-015,DEC-014,FALSE,Agents may propose operations; they do not mutate accepted engineering state directly.
SOW-070,IN,"Accepted model operations shall preserve operation history, rationale, assumptions, affected entities, and audit metadata needed for reproducible model-state review.","PRD v0.2 §10.3, FR-AGENT-004, §15.1",PKG-16,"DEL-16-03, DEL-16-04","OBJ-015, OBJ-018",DEC-014,FALSE,Operation history supports design iteration without creating professional approval claims.
SOW-071,IN,"The product shall save named immutable model states with tags, notes, external references, unresolved assumptions, warnings, and deterministic hashes.","PRD v0.2 §8.6, FR-CMP-001, §15.1",PKG-14,"DEL-14-01, DEL-14-03",OBJ-016,DEC-014,FALSE,"Model states are flexible metadata records, not formal prover approval states."
SOW-072,IN,"The product shall save analysis runs bound to exact model states, solver versions, settings, units, load cases, diagnostics, results, rule-pack references, library references, and result hashes.","PRD v0.2 §8.7, FR-CMP-002, §15.2",PKG-14,"DEL-14-02, DEL-14-04",OBJ-016,DEC-014,FALSE,Results attach to immutable analysis runs rather than a mutable current model only.
SOW-073,IN,"The product shall compare two model states and/or two analysis runs deterministically using stable IDs, manual mappings where required, unit-normalized result deltas, and tolerance profiles.","PRD v0.2 §8.8, FR-CMP-003 through FR-CMP-010, §15.3",PKG-14,"DEL-14-03, DEL-14-04, DEL-14-05","OBJ-016, OBJ-018",DEC-015,FALSE,"Comparison is diagnostic/audit functionality, not automatic external validation or acceptance."
SOW-074,IN,"The product shall generate schema-compliant handoff packages with model hash, units manifest, entity IDs, library/rule references, unresolved assumptions, warnings, target mapping metadata, and unsupported-target flags.","PRD v0.2 §16.1, FR-HAND-001 through FR-HAND-004",PKG-15,"DEL-15-01, DEL-15-02, DEL-15-03","OBJ-017, OBJ-018",DEC-014,FALSE,Handoff quality is central; target-specific commercial parsers remain deferred.
SOW-075,IN,"The product shall support external-prover workflow metadata without forcing a formal prover-status lifecycle, automatic professional acceptance record, or comprehensive commercial-tool result ingestion in the MVP.","PRD v0.2 §4.2, §16.2-§16.4, §23",PKG-15,DEL-15-04,"OBJ-017, OBJ-018",DEC-015; DEC-016,FALSE,"Use flexible names, tags, notes, external references, and comparison reports instead of hard-coded approval statuses."
SOW-076,IN,"The GUI shall support design-authoring and comparison workflows, including design knowledge panels, constraint/warning panels, state/run browsers, comparison tables, and graphical comparison overlays.","PRD v0.2 §11.3, §14.5, §15.3",PKG-07,DEL-07-08,"OBJ-015, OBJ-016",DEC-014,FALSE,Expands GUI from stress input editing into design iteration and review.
