DeliverableID,PackageID,ContextEnvelope,Risk,RecommendedAction,Notes
DEL-05-01,PKG-05,M,OK,Proceed with bounded Type 2 brief,Primitive categories; code combinations remain external.
DEL-05-02,PKG-05,M,OK,Proceed with bounded Type 2 brief,Bounded algebra surface.
DEL-05-03,PKG-05,M,OK,Proceed with bounded Type 2 brief,Does not encode code stress equations.
DEL-05-04,PKG-05,S,OK,Proceed with bounded Type 2 brief,Small state model with high governance value.
DEL-05-05,PKG-05,M,OK,Proceed with bounded Type 2 brief,Keeps general user loads separate from code-specific combinations.
DEL-06-01,PKG-06,M,OK,Proceed with bounded Type 2 brief,Rule-pack schema must align with JSON Schema 2020-12 and checksum/provenance basis.
DEL-06-02,PKG-06,L,WATCH,Confirm scope and split if it expands,"Evaluator must remain sandboxed, unit-aware, and declarative; exact expression grammar/library remains TBD."
DEL-06-03,PKG-06,M,OK,Proceed with bounded Type 2 brief,Connects user data to rule-pack gating.
DEL-06-04,PKG-06,M,OK,Proceed with bounded Type 2 brief,Checksum handling must align with SCA-001 canonical JSON/JCS hash basis where payloads are JSON.
DEL-06-05,PKG-06,S,OK,Proceed with bounded Type 2 brief,Example only; no proprietary content.
DEL-07-01,PKG-07,L,WATCH,Confirm scope and split if it expands,Viewport baseline is Tauri/React/Vite with Three.js; component/state details remain TBD.
DEL-07-02,PKG-07,M,OK,Proceed with bounded Type 2 brief,Single UI work surface.
DEL-07-03,PKG-07,L,WATCH,Confirm scope and split if it expands,Multiple editors but same GUI domain; may split later.
DEL-07-04,PKG-07,M,OK,Proceed with bounded Type 2 brief,High-value UX slice.
DEL-07-05,PKG-07,L,WATCH,Confirm scope and split if it expands,Results surface is substantial but one domain.
DEL-07-06,PKG-07,M,OK,Proceed with bounded Type 2 brief,May refine once GUI framework chosen.
DEL-07-07,PKG-07,M,OK,Proceed with bounded Type 2 brief,Solve UX must use command/job cancellation/progress and diagnostics/result-envelope contracts.
DEL-08-01,PKG-08,L,WATCH,Confirm scope and split if it expands,Report is broad but single artifact family.
DEL-08-02,PKG-08,M,OK,Proceed with bounded Type 2 brief,Audit manifest/model hash uses canonical JSON/JCS hash basis for JSON payloads; binary assets use manifest hashes.
DEL-08-03,PKG-08,M,OK,Proceed with bounded Type 2 brief,Leverages warning data from GUI/core.
DEL-08-04,PKG-08,M,OK,Proceed with bounded Type 2 brief,Result export baseline is schema-first JSON result envelopes; additional export formats remain TBD.
DEL-08-05,PKG-08,M,OK,Proceed with bounded Type 2 brief,Heuristic plus review; cannot be sole legal control.
DEL-09-01,PKG-09,M,OK,Proceed with bounded Type 2 brief,Uses original/public mechanics cases.
DEL-09-02,PKG-09,M,OK,Proceed with bounded Type 2 brief,No code formulas.
DEL-09-03,PKG-09,M,OK,Proceed with bounded Type 2 brief,Depends on nonlinear solver maturity.
DEL-09-04,PKG-09,M,OK,Proceed with bounded Type 2 brief,Documentation-oriented.
DEL-09-05,PKG-09,M,OK,Proceed with bounded Type 2 brief,Process + CI; bounded.
DEL-10-01,PKG-10,M,OK,Proceed with bounded Type 2 brief,Public API/plugin boundary uses schema-first envelopes and no-bypass adapter constraints; transport remains TBD.
DEL-10-02,PKG-10,L,WATCH,Confirm scope and split if it expands,Adapter framework must validate units/provenance/redistribution/diagnostics/private-boundary constraints; formats remain later deliverables.
DEL-10-03,PKG-10,M,OK,Proceed with bounded Type 2 brief,"Guidance only, no external FEA implementation."
DEL-10-04,PKG-10,L,WATCH,Confirm scope and split if it expands,Packaging baseline follows Tauri-supported desktop targets with Cargo/Vitest/Playwright gates; CI provider/release matrix TBD.
DEL-10-05,PKG-10,M,OK,Proceed with bounded Type 2 brief,Headless runner must align with schema-first command/query/job envelopes and result exports.
DEL-11-01,PKG-11,M,OK,Proceed with bounded Type 2 brief,Documentation only.
DEL-11-02,PKG-11,M,OK,Proceed with bounded Type 2 brief,Documentation only.
DEL-11-03,PKG-11,M,OK,Proceed with bounded Type 2 brief,Should cite public/permissive sources; no formula copying from standards.
DEL-11-04,PKG-11,M,OK,Proceed with bounded Type 2 brief,Examples must be clearly non-code.
DEL-11-05,PKG-11,S,OK,Proceed with bounded Type 2 brief,Documentation only.
DEL-12-01,PKG-12,M,OK,Proceed with bounded Type 2 brief,Private storage must align with local-first persistence baseline; physical container remains TBD.
DEL-12-02,PKG-12,M,OK,Proceed with bounded Type 2 brief,Security-sensitive but bounded.
DEL-12-03,PKG-12,S,OK,Proceed with bounded Type 2 brief,May be no-op in MVP.
DEL-12-04,PKG-12,M,OK,Proceed with bounded Type 2 brief,Avoids cloud assumptions.
DEL-12-05,PKG-12,M,OK,Proceed with bounded Type 2 brief,Document now; update as architecture matures.
DEL-07-08,PKG-07,L,WATCH,Confirm scope and split if it expands,Adds design-authoring and comparison workspace to the GUI workflow.
DEL-08-06,PKG-08,M,OK,Proceed with bounded Type 2 brief,Reports draw from state/run/comparison/handoff records and preserve professional-boundary wording.
DEL-13-01,PKG-13,M,OK,Proceed with bounded Type 2 brief,No protected owner standards or project data in public examples.
DEL-13-02,PKG-13,M,OK,Proceed with bounded Type 2 brief,Constraint records must identify user/project/import/agent/source provenance where known.
DEL-13-03,PKG-13,M,OK,Proceed with bounded Type 2 brief,Does not infer hidden owner standards or protected code requirements.
DEL-13-04,PKG-13,L,WATCH,Confirm scope and split if it expands,First-class bridge from design authoring to solver execution.
DEL-14-01,PKG-14,M,OK,Proceed with bounded Type 2 brief,Flexible metadata only; no formal prover approval statuses.
DEL-14-02,PKG-14,M,OK,Proceed with bounded Type 2 brief,Results attach to immutable run records.
DEL-14-03,PKG-14,L,WATCH,Confirm scope and split if it expands,Reports added/removed/changed/unchanged model entities.
DEL-14-04,PKG-14,L,WATCH,Confirm scope and split if it expands,Comparison is diagnostic/audit functionality only.
DEL-14-05,PKG-14,M,OK,Proceed with bounded Type 2 brief,Future external result states may be represented without changing core compare logic.
DEL-15-01,PKG-15,M,OK,Proceed with bounded Type 2 brief,Package is for downstream modeling and professional validation workflows.
DEL-15-02,PKG-15,M,OK,Proceed with bounded Type 2 brief,Avoids silent loss of critical assumptions or unsupported target behavior.
DEL-15-03,PKG-15,L,WATCH,Confirm scope and split if it expands,Target-specific commercial stress output parsers remain deferred.
DEL-15-04,PKG-15,M,OK,Proceed with bounded Type 2 brief,Preserves non-authoritative professional reliance boundary.
DEL-16-01,PKG-16,M,OK,Proceed with bounded Type 2 brief,Operations are the only model mutation route for GUI and agent proposals.
DEL-16-02,PKG-16,M,OK,Proceed with bounded Type 2 brief,Blocks invalid operations before application.
DEL-16-03,PKG-16,M,OK,Proceed with bounded Type 2 brief,Default workflow requires user acceptance unless later explicitly changed.
DEL-16-04,PKG-16,S,OK,Proceed with bounded Type 2 brief,Agent output cannot become accepted engineering work by itself.
